DMS_id,UniProt_ID,selection_type,spearman,n_variants
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,Stability,0.1373584659251144,707
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,Stability,0.4028006300348271,2069
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Activity,0.08808486110815245,51714
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Expression,0.4190127603371746,2844
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Activity,0.3563458590898882,899
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,OrganismalFitness,0.3288446151142609,1777
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Expression,0.16087276516300833,2339
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Activity,0.16498068924948125,1121
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,OrganismalFitness,0.46489216609612966,3366
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,OrganismalFitness,0.5532896526327817,5004
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Stability,0.3424336430162946,1429
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Stability,0.37778498455003684,1287
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,Binding,-0.03951164379441398,3802
R1AB_SARS2_Flynn_2022,R1AB_SARS2,OrganismalFitness,-0.03222308329411282,5725
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Binding,0.6250671602381918,24873
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,Stability,0.16851711932861876,1134
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Activity,-0.009341749182911304,1176
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Activity,0.5113170153940636,2999
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,Stability,0.22505861696745125,1025
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Stability,0.4232642789589717,1279
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,OrganismalFitness,0.031036744608405196,10715
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,OrganismalFitness,-0.0564243633698653,15711
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,OrganismalFitness,0.30426420063986165,375
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,Stability,0.7467271160884665,1459
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,OrganismalFitness,0.17924625148086257,3181
RL40A_YEAST_Mavor_2016,RL40A_YEAST,OrganismalFitness,0.27168717037671813,1253
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,Binding,0.3421463877171943,3344
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,Expression,0.5139427258172335,3344
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Expression,0.32238713282233683,8756
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,Expression,0.5505528613148479,9803
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,Stability,0.21347800057283225,1461
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,OrganismalFitness,0.5126067071355525,1700
DLG4_RAT_McLaughlin_2012,DLG4_RAT,Binding,0.5328164847254484,1576
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,Stability,0.5548966943832953,1019
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,OrganismalFitness,0.42355166201759753,7889
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Stability,0.3460745797029409,1944
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,OrganismalFitness,0.5697547347282254,4996
